timePoint	measTime	measTime2
0.0	0.18189072608947754	0.18164515495300293
-0.05	0.6933438777923584	0.6930959224700928
-0.1	0.8657069206237793	0.8654589653015137
-0.15000000000000002	1.0540378093719482	1.0537919998168945
-0.2	1.2628247737884521	1.2625761032104492
-0.15000000000000002	1.4682528972625732	1.4680051803588867
-0.10000000000000003	1.658193826675415	1.657947063446045
-0.050000000000000044	1.845024824142456	1.8447768688201904
-5.551115123125783e-17	2.1583268642425537	2.158082962036133
0.04999999999999993	2.4188687801361084	2.4186251163482666
0.09999999999999992	2.648066759109497	2.647819995880127
0.05	2.9065349102020264	2.906285047531128
0.0	3.1333367824554443	3.133089065551758
-0.05000000000000002	3.312581777572632	3.3123362064361572
